A Star Is Born (2018),8:45 am,6:30,9:00
Border (2018),1:10 pm,6:45,NULL
Boy Erased (2018),9:00 am,6:00,9:50
Can You Ever Forgive Me? (2018),11:00 am,7:30,10:20
Halloween (2018),11:00 am,7:30,10:20
Mid90s (2018),10:50 am,4:05 pm,9:40
A Star Is Born (2018),12:00 pm,3:15,9:40
Bohemian Rhapsody (2018),11:45 am,9:30,10:20
The Grinch (2018),11:00 am,8:20,10:40
Nobody's Fool (2018),11:50 am,2:35 pm,10:45
Overlord (2018),11:15 am,7:30,10:10
A Star Is Born (2018),6:35 pm,9:30,NULL
Bohemian Rhapsody (2018),12:20 pm,9:15,10:40
The Grinch (2018),11:00 am,10:15,10:55
Goosebumps 2: Haunted Halloween (2018),2:00 pm,6:30,10:55
Halloween (2018),12:15 pm,2:30,NULL
Hunter Killer (2018),12:25 pm,7:05,9:25
Johnny English Strikes Again (2018),12:00 pm,7:20,9:50
Night School (2018),11:00 am,4:05 pm,6:55
Nobody's Fool (2018),11:00 am,5:30,7:45
Overlord (2018),1:35 pm,9:35,NULL
Smallfoot (2018),11:40 am,7:25,10:00
The Girl in the Spider's Web: A New Dragon Tattoo Story (2018),12:50 pm,8:35,11:10
The Nutcracker and the Four Realms (2018),5:00 pm,7:35,10:05
Trabajo Sucio (2018),11:30 am,1:55 pm,4:10
Venom (2018),11:10 am,10:30,11:15
A Star Is Born (2018),12:40 pm,7:10,10:20
Bohemian Rhapsody (2018),10:30 am,9:20,10:10
La sylphide (2004),12:55 pm,NULL,NULL
Boy Erased (2018),10:45 am,7:25,10:10
Can You Ever Forgive Me? (2018),10:20 am,6:45,9:35
Crazy Rich Asians (2018),7:55 pm,10:50,NULL
Die Hard (1988),2:00 pm,7:00,NULL
The Grinch (2018),10:00 am,10:05,10:55
First Man (2018),12:35 pm,7:10,10:25
Free Solo (2018),10:00 am,8:05,10:35
Goosebumps 2: Haunted Halloween (2018),11:20 am,NULL,NULL
Halloween (2018),11:55 am,7:55,10:45
Nobody's Fool (2018),11:05 am,7:35,10:15
Overlord (2018),11:35 am,10:40,10:40
Smallfoot (2018),11:30 am,6:55,9:25
The Girl in the Spider's Web: A New Dragon Tattoo Story (2018),10:40 am,7:30,10:25
The Hate U Give (2018),10:30 pm,NULL,NULL
The Nutcracker and the Four Realms (2018),9:55 am,7:15,9:50
A Private War (2018),10:55 am,7:35,10:20
A Star Is Born (2018),12:30 pm,7:10,10:25
Beautiful Boy (2018),11:15 am,7:45,10:35
Bohemian Rhapsody (2018),11:05 am,8:40,10:00
La sylphide (2004),11:55 am,NULL,NULL
Boy Erased (2018),10:50 am,8:45,10:10
Can You Ever Forgive Me? (2018),11:05 am,7:25,10:10
Die Hard (1988),7:00 pm,NULL,NULL
The Grinch (2018),10:45 am,9:55,10:45
First Man (2018),6:55 pm,NULL,NULL
Free Solo (2018),8:00 pm,10:30,NULL
Halloween (2018),3:40 pm,10:40,NULL
Nobody's Fool (2018),11:20 am,7:50,10:35
Overlord (2018),11:00 am,7:30,10:20
Smallfoot (2018),2:40 pm,NULL,NULL
The Girl in the Spider's Web: A New Dragon Tattoo Story (2018),11:10 am,7:40,10:30
The Hate U Give (2018),12:10 pm,6:50,10:15
The Nutcracker and the Four Realms (2018),10:55 am,5:20,9:50
Venom (2018),1:35 pm,7:15,NULL
